lead_id,lead_created_at,source_platform,tracked_campaign,qualified,converted
crm-0105-g-brand-1,2026-01-05T08:00:00,google,g-brand,yes,yes
crm-0105-g-brand-2,2026-01-05T09:07:00,google,g-brand,yes,yes
crm-0105-g-brand-3,2026-01-05T10:14:00,google,g-brand,yes,yes
crm-0105-g-brand-4,2026-01-05T11:21:00,google,g-brand,yes,no
crm-0105-g-brand-5,2026-01-05T12:28:00,google,g-brand,yes,no
crm-0105-g-brand-6,2026-01-05T13:35:00,google,g-brand,yes,no
crm-0105-g-brand-7,2026-01-05T14:42:00,google,g-brand,yes,no
crm-0105-g-brand-8,2026-01-05T15:49:00,google,g-brand,yes,no
crm-0105-g-brand-9,2026-01-05T16:56:00,google,g-brand,yes,no
crm-0105-g-brand-10,2026-01-05T17:03:00,google,g-brand,yes,no
crm-0105-g-brand-11,2026-01-05T08:10:00,google,g-brand,no,no
crm-0105-g-brand-12,2026-01-05T09:17:00,google,g-brand,no,no
crm-0105-g-brand-13,2026-01-05T10:24:00,google,g-brand,no,no
crm-0105-g-brand-14,2026-01-05T11:31:00,google,g-brand,no,no
crm-0105-g-brand-15,2026-01-05T12:38:00,google,g-brand,no,no
crm-0105-g-brand-16,2026-01-05T13:45:00,google,g-brand,no,no
crm-0105-g-brand-17,2026-01-05T14:52:00,google,g-brand,no,no
crm-0105-g-brand-18,2026-01-05T15:59:00,google,g-brand,no,no
crm-0105-g-brand-19,2026-01-05T16:06:00,google,g-brand,no,no
crm-0105-g-brand-20,2026-01-05T17:13:00,google,g-brand,no,no
crm-0105-g-brand-21,2026-01-05T08:20:00,google,g-brand,no,no
crm-0105-g-brand-22,2026-01-05T09:27:00,google,g-brand,no,no
crm-0105-g-brand-23,2026-01-05T10:34:00,google,g-brand,no,no
crm-0105-g-nonbrand-1,2026-01-05T08:00:00,google,g-nonbrand,yes,yes
crm-0105-g-nonbrand-2,2026-01-05T09:07:00,google,g-nonbrand,yes,yes
crm-0105-g-nonbrand-3,2026-01-05T10:14:00,google,g-nonbrand,yes,yes
crm-0105-g-nonbrand-4,2026-01-05T11:21:00,google,g-nonbrand,yes,yes
crm-0105-g-nonbrand-5,2026-01-05T12:28:00,google,g-nonbrand,yes,yes
crm-0105-g-nonbrand-6,2026-01-05T13:35:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-7,2026-01-05T14:42:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-8,2026-01-05T15:49:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-9,2026-01-05T16:56:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-10,2026-01-05T17:03:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-11,2026-01-05T08:10:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-12,2026-01-05T09:17:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-13,2026-01-05T10:24:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-14,2026-01-05T11:31:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-15,2026-01-05T12:38:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-16,2026-01-05T13:45:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-17,2026-01-05T14:52:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-18,2026-01-05T15:59:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-19,2026-01-05T16:06:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-20,2026-01-05T17:13:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-21,2026-01-05T08:20:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-22,2026-01-05T09:27:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-23,2026-01-05T10:34:00,google,g-nonbrand,yes,no
crm-0105-g-nonbrand-24,2026-01-05T11:41:00,google,g-nonbrand,no,no
crm-0105-g-nonbrand-25,2026-01-05T12:48:00,google,g-nonbrand,no,no
