date,campaign_id,campaign_name,impressions,clicks,spend,platform_leads
2026-01-05,G-BRAND,Google Brand Search,120000,4200,3000,25
2026-01-05,G-NONBRAND,Google Non-Brand Search,280000,10500,8500,38
2026-01-12,G-BRAND,Google Brand Search,122000,4250,3100,26
2026-01-12,G-NONBRAND,Google Non-Brand Search,286000,10600,8600,39
2026-01-19,G-BRAND,Google Brand Search,124000,4300,3200,27
2026-01-19,G-NONBRAND,Google Non-Brand Search,292000,10800,8700,40
2026-01-26,G-BRAND,Google Brand Search,126000,4380,3300,28
2026-01-26,G-NONBRAND,Google Non-Brand Search,310000,11200,11800,42
2026-02-02,G-BRAND,Google Brand Search,126500,4400,3300,28
2026-02-02,G-NONBRAND,Google Non-Brand Search,298000,10900,9000,41
2026-02-09,G-BRAND,Google Brand Search,128000,4450,3400,29
2026-02-09,G-NONBRAND,Google Non-Brand Search,304000,11100,9200,43
2026-02-16,G-BRAND,Google Brand Search,129000,4500,3400,
2026-02-16,G-NONBRAND,Google Non-Brand Search,308000,11200,9300,50
2026-02-23,G-BRAND,Google Brand Search,130000,4520,3420,30
2026-02-23,G-NONBRAND,Google Non-Brand Search,312000,11300,9400,44
