report_date,campaign_key,campaign,impressions,link_clicks,amount_spent,leads
01/05/2026,M-PROSPECT,Meta Prospecting,300000,7200,6500,41
01/05/2026,M-RETARGET,Meta Retargeting,140000,6200,5200,30
01/12/2026,M-PROSPECT,Meta Prospecting,304000,7300,6600,42
01/12/2026,M-RETARGET,Meta Retargeting,142000,6250,5300,31
01/19/2026,M-PROSPECT,Meta Prospecting,308000,7400,7000,43
01/19/2026,M-RETARGET,Meta Retargeting,144000,6300,5400,32
01/26/2026,M-PROSPECT,Meta Prospecting,312000,7500,6900,44
01/26/2026,M-RETARGET,Meta Retargeting,146000,6350,5500,33
02/02/2026,M-PROSPECT,Meta Prospecting,316000,7600,7000,45
02/02/2026,M-RETARGET,Meta Retargeting,148000,6400,5600,33
02/09/2026,M-PROSPECT,Meta Prospecting,320000,7700,7200,46
02/09/2026,M-RETARGET,Meta Retargeting,150000,6450,-1,34
02/16/2026,M-PROSPECT,Meta Prospecting,324000,7800,7200,50
02/16/2026,M-RETARGET,Meta Retargeting,152000,6500,5700,38
02/23/2026,M-PROSPECT,Meta Prospecting,328000,7900,7300,48
02/23/2026,M-RETARGET,Meta Retargeting,154000,6550,5800,39
